id,name,industry
1,Leffler Inc,Major Banks
2,Smith-Thompson,Trucking Freight/Courier Services
3,Swift-Larkin,Computer Software: Prepackaged Software
4,Mante-Kuhic,Electronic Components
5,Waters LLC,Professional Services
6,Marquardt LLC,Medical/Dental Instruments
7,Franecki-Heathcote,Commercial Banks
8,Parisian-Johnston,Oilfield Services/Equipment
9,"Maggio, Stiedemann and Okuneva",n/a
10,Nienow-Mante,Consumer Specialties
11,"Sporer, Funk and Ferry",Computer Software: Prepackaged Software
12,Carroll-Stiedemann,Investment Managers
13,"Grady, Feeney and Bernhard",Steel/Iron Ore
14,Reynolds Group,EDP Services
15,Littel-Mayert,Other Specialty Stores
16,Cole-Beatty,Major Banks
17,Bruen-Mertz,Major Pharmaceuticals
18,Price-Ondricka,n/a
19,"O'Reilly, Larson and Turcotte",n/a
20,"Dibbert, Fay and Brown",Oil & Gas Production
21,Yost-Ruecker,Homebuilding
22,Grant-Lang,Telecommunications Equipment
23,Mueller-Stiedemann,n/a
24,"Crona, Grady and Gerlach",n/a
25,Kuphal and Sons,n/a
26,Gleichner-Williamson,Auto Parts:O.E.M.
27,Goyette-Ratke,Auto Manufacturing
28,Beier Group,Precious Metals
29,Funk and Sons,Major Banks
30,Murphy Inc,Property-Casualty Insurers
31,Treutel-Lemke,Precious Metals
32,Hickle-Boyer,Semiconductors
33,Rodriguez and Sons,n/a
34,"Zemlak, Mraz and Botsford",Major Banks
35,Krajcik-Marvin,n/a
36,Jast and Sons,Oil & Gas Production
37,"Cummerata, Nikolaus and Lehner",Computer Manufacturing
38,Morissette-Swift,Investment Bankers/Brokers/Service
39,Wehner-Douglas,Major Banks
40,Turner Group,n/a
41,Yost and Sons,Business Services
42,Daniel LLC,n/a
43,Hessel-Hoppe,n/a
44,Langworth Inc,Containers/Packaging
45,"Schaefer, Bernhard and Simonis",Real Estate Investment Trusts
46,Anderson LLC,Real Estate Investment Trusts
47,"Kreiger, Lowe and Ratke",n/a
48,"Reichel, Nicolas and Collins",Real Estate Investment Trusts
49,Mayer LLC,Home Furnishings
50,Marquardt-Lebsack,Major Banks
51,Williamson-Gleichner,Biotechnology: Biological Products (No Diagnostic Substances)
52,Lueilwitz LLC,Advertising
53,"Hagenes, Kemmer and O'Conner",Savings Institutions
54,Reynolds-Williamson,Integrated oil Companies
55,"Windler, Sanford and Hickle",Other Consumer Services
56,Kohler-Schowalter,Semiconductors
57,Collins Inc,Real Estate Investment Trusts
58,Dibbert-Rowe,Major Banks
59,Rice Group,Semiconductors
60,Pagac-Kulas,Professional Services
61,Mueller Inc,Telecommunications Equipment
62,Lowe-Corwin,Investment Bankers/Brokers/Service
63,Emmerich Group,Telecommunications Equipment
64,"Torp, Becker and Batz",n/a
65,Hudson and Sons,Advertising
66,Swaniawski and Sons,Finance: Consumer Services
67,Abshire-Marks,Biotechnology: Commercial Physical & Biological Resarch
68,Stehr-Dibbert,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
69,Bruen-Schmidt,Beverages (Production/Distribution)
70,Nolan Group,Major Pharmaceuticals
71,"Brakus, Hintz and Leffler",Plastic Products
72,Swaniawski LLC,Industrial Machinery/Components
73,Simonis Group,n/a
74,Reilly-Shields,Water Supply
75,"Bahringer, Flatley and Bauch",n/a
76,"Rowe, Gerhold and Dare",n/a
77,"Koss, Schowalter and Hagenes",Finance: Consumer Services
78,Hilll-Bartoletti,n/a
79,Fritsch and Sons,n/a
80,Kilback-O'Keefe,Other Consumer Services
81,"Klein, Parker and Beier",n/a
82,Carter-Schamberger,n/a
83,Roberts Group,Major Pharmaceuticals
84,Keebler-Spencer,EDP Services
85,Becker-Cronin,Restaurants
86,Hermiston LLC,n/a
87,"Reinger, Johnston and Swift",n/a
88,"Beier, Bogisich and Heaney",n/a
89,Renner-Becker,Real Estate Investment Trusts
90,Schoen-Greenholt,Precious Metals
91,Heller and Sons,Commercial Banks
92,Romaguera LLC,Major Pharmaceuticals
93,Haley-Kihn,n/a
94,"Armstrong, Howe and Beatty",n/a
95,Quigley-Cummings,Recreational Products/Toys
96,"Mills, Spinka and Upton",Telecommunications Equipment
